film,rating,date,liked,log_date,country,studio,primary_language,genres,director,actors
Black Mirror: Beyond the Sea,8,2023,true,2023-06-18,,,English,"['Horror', 'Science Fiction', 'Thriller', 'TV Movie']",John Crowley,"['Aaron Paul', 'Josh Hartnett', 'Kate Mara', 'Auden Thornton', 'Rory Culkin', 'Daniel Bell', 'Billie Sturrock Kewish', 'Charlie Fidelski', 'Olen Gunn', 'Lydia Cherry', 'Marama Corlett', 'Siân Davis', 'Ioachim Ciobanu', 'Simon Markey', 'Marceline Hugot']"
2001: A Space Odyssey,6,1968,false,2023-06-16,UK,Kubrick Productions,English,"['Adventure', 'Mystery', 'Science Fiction']",Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Frank Miller', 'Ed Bishop', 'Edwina Carroll', 'Heather Downham', 'Penny Brahms', 'Maggie London', 'Chela Matthison', 'Judy Kiern', 'Alan Gifford', 'Ann Gillis', 'Vivian Kubrick', 'Kenneth Kendall', 'Kevin Scott', 'Martin Amor', 'Bill Weston', 'Glenn Beck', 'Mike Lovell', 'John Ashley', 'Jimmy Bell', 'David Charkham', 'Simon Davis', 'Jonathan Daw', 'Péter Delmár', 'Terry Duggan', 'David Fleetwood', 'Danny Grover', 'Brian Hawley', 'David Hines', 'Tony Jackson', 'John Jordan', 'Scott MacKee', 'Laurence Marchant', 'Darryl Paes', 'Joe Refalo', 'Andy Wallace', 'Bob Wilyman', 'Richard Woods', 'S. Newton Anderson', 'Sheraton Blount', 'Ann Bormann', 'Julie Croft', 'Penny Francis', 'Marcella Markham', 'Irena Marr', 'Krystyna Marr', 'Kim Neil', 'Jane Pearl', 'Penny Pearl', 'Burnell Tucker', 'John Swindells', 'John Clifford', 'Stanley Kubrick', 'Anthony Jackson', 'Frank W. Miller', 'Harry Fielder']"
The Flash,2,2023,false,2023-06-15,USA,Warner Bros. Pictures,English,"['Science Fiction', 'Action', 'Adventure']",Andy Muschietti,"['Ezra Miller', 'Sasha Calle', 'Michael Keaton', 'Michael Shannon', 'Ron Livingston', 'Maribel Verdú', 'Kiersey Clemons', 'Antje Traue', 'Saoirse-Monica Jackson', 'Rudy Mancuso', 'Ed Wade', 'Jeremy Irons', 'Temuera Morrison', 'Sanjeev Bhaskar', 'Sean Rogers', 'Kieran Hodgson', 'Luke Brandon Field', 'Ian Loh', 'Karl Collins', 'Nikolaj Coster-Waldau', 'Poppy Shepherd', 'Nina Barker-Francis', 'Ava Hamada', 'Maurice Chung', 'Florence Wright', 'Bastian Antonio Fuentes', 'Andoni Gracia', 'Alex Hank', 'Miki Muschietti', 'Rebecca Hiller', 'Rob Hunt', 'Jonny Stockwell', 'Michael Byrch', 'Bret Jones', 'Sue Maund', 'Alex Batareanu', 'Andrei Nova', 'Gabriel Constantin', 'Oleg Mirochnikov', 'Katia Elizarova', 'Denis Khoroshko', 'Zsuzsa Magyar', 'Michael Lerman', 'Rosie Ede', 'Andy Muschietti', 'Ellie Rawnsley', 'Greg Lockett', 'Chelsea Leigh Macleod', 'Leslie Soo', 'Freya Evans', 'Sue Moore', 'Lynn Farleigh', 'Martin Pemberton', 'Sarah Lawn', 'David Calvitto', 'Ben Affleck', 'Gal Gadot', 'George Clooney', 'Jason Momoa']"
Batman v Superman: Dawn of Justice,7,2016,true,2023-06-15,USA,Warner Bros. Pictures,English,"['Action', 'Fantasy', 'Adventure']",Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Jesse Eisenberg', 'Gal Gadot', 'Amy Adams', 'Diane Lane', 'Jeremy Irons', 'Holly Hunter', 'Laurence Fishburne', 'Callan Mulvey', 'Scoot McNairy', 'Tao Okamoto', 'Jena Malone', 'Lauren Cohan', 'Brandon Spink', 'Hugh Maguire', 'Michael Cassidy', 'Alan D. Purwin', 'Dan Amboyer', 'Rebecca Buller', 'Harry Lennix', 'Christina Wren', 'Jade Chynoweth', 'Chad Krowchuk', 'Kevin Costner', 'Ezra Miller', 'Charlie Rose', 'Vikram Gandhi', 'Andrew Sullivan', 'Neil deGrasse Tyson', 'Jon Stewart', ""Soledad O'Brien"", 'Erika R. Erickson', 'Dana Bash', 'Nancy Grace', 'Anderson Cooper', 'Brooke Baldwin', 'Jason Momoa', 'Joe Morton', 'Ray Fisher', 'Joseph Cranford', 'Emily Peterson', 'Patrick Wilson', 'Carla Gugino', 'Sammi Rotibi', 'Hanna Dworkin', 'Tiffany L. Addison', 'Owais Ahmed', 'Anish Jethmalani', 'Tiffany Bedwell', 'Natalee Arteaga', 'Keith D. Gallagher', 'Jeff Dumas', 'Miriam Lee', 'Alicia Regan', 'Stephanie Koenig', 'Ripley Sobo', 'Richard Burden', 'Julius Tennon', 'Wunmi Mosaku', 'Dennis North', 'Kiff VandenHeuvel', 'Mason Heidger', 'Ahney Her', 'Kristine Cabanban', 'Sebastian Sozzi', 'Kent Shocknek', 'Ralph Lister', 'Sammy A. Publes', 'Jay R. Adams', 'David Midura', 'Jay Towers', 'Michael Ellison', 'Kirill Ostapenko', 'Rashontae Wawrzyniak', 'Tom Luginbill', 'Dave Pasch', 'Danny Mooney', 'Henry Frost III', 'Nicole Forester', 'Debbie Stabenow', 'Milica Govich', 'John Lepard', 'Sandra Love Aldridge', 'Graham W.J. Beal', 'Henri Franklin', 'Jonathan Leigh West', 'T.J. Martinelli', 'Chris Newman', 'Lulu Dahl', 'Sam Logan Khaleghi', 'Anne Marie Damman', 'Connie Craig', 'Henrietta Hermelin', 'Patrick Leahy', 'Albert Valladares', 'David Paris', 'Abigail Kuklis', 'Greg Violand', 'Tiren Jhames', 'Steve Jasgur', 'Jonathan Stanley', 'Jesse Nagy', 'Duvale Murchison', 'Thomas J. Fentress', 'Coburn Goss', 'Jeff Hanlin', 'Gary A. Hecker', 'Robin Atkin Downes', 'Brandon Bautista', 'Carmen Gangale', 'Mark Edward Taylor', 'Matahi Drollet', 'Mormon Maitui', 'Taraina Sanford', 'Jean Ho', 'Julia Glander', 'Cleve McTier', 'Bevin Kowal', 'Carmen Ayala', 'Josh Carrizales', 'James Quesada', 'Aida Munoz', 'David Dailey Green', 'Madison Autumn Mies', 'Thomas M. Taylor', 'Thom Kikot', 'John Seibert', 'Liam Matthews', 'Zachary Schafer', 'Monrico Ward', ""Ryan D'Silva"", 'Tom Whalen', 'Jeffrey Dean Morgan', 'Richard Cetrone', 'Marcus Goddard', 'Joe Fishel', 'Jalene Mack', ""Patrick O'Connor Cronin"", 'Isabella Gielniak', 'Francisco Peramos', 'Michael Shannon']"
Guardians of the Galaxy Vol. 3,8,2023,true,2023-06-11,USA,Marvel Studios,English,"['Action', 'Adventure', 'Science Fiction']",James Gunn,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Karen Gillan', 'Pom Klementieff', 'Vin Diesel', 'Bradley Cooper', 'Sean Gunn', 'Chukwudi Iwuji', 'Will Poulter', 'Maria Bakalova', 'Elizabeth Debicki', 'Sylvester Stallone', 'Austin Freeman', 'Stephen Blackehart', 'Terence Rosemore', 'Sarah Alami', 'Jasmine Munoz', 'Giovannie Cruz', 'Nico Santos', 'Miriam Shor', 'Noa Raskin', 'Linda Cardellini', 'Asim Chaudhry', 'Mikaela Hoover', 'Judy Greer', 'Reinaldo Faberlle', 'Tara Strong', 'Jared Leland Gore', 'Michael Rosenbaum', 'Elan Gale', 'Molly C. Quinn', 'Gerardo Davila', 'Dee Bradley Baker', 'Hanna Pak', 'Jennifer Holland', 'Nathan Fillion', 'Kyle Mclean', 'Benjamin Byron Davis', 'Tiffany Smith', 'Joe Daru', 'Daniela Melchior', 'Jonathan Mercedes', 'Jonathan Fritschi', 'Diego Ward', 'Max Bickelhaup', 'Brandon Morales', 'Renae Moneymaker', 'Alexis Hadesty', 'Tara Warren', 'Candi VandiZandi', 'Grecia Balboa', 'Caleb Spillyards', 'Darla Delgado', 'Michelle Civile', 'Ken Lyle', 'Elodie Clarke', 'John William Wright', 'Autumn Griffin', 'Skylar Huntley', 'Randy Havens', 'Dane DiLiegro', 'Kai Zen', 'Sarah Anne', 'Yael Ocasio', 'Adelynn Spoon', 'Henry Heffernan', 'Brooklyn Skye Oliver', 'Scarlett Blum', 'Baby Dro', 'Emery Grilliot', 'Amelia Waters', 'Lloyd Kaufman', 'Seth Green', 'Christopher Fairbank', 'Rhett Miller', 'Natalia Safran', 'Murphy Weed', 'Michael Rooker', 'James Gunn', 'Pete Davidson', 'Jessica Fontaine', 'Karen Abercrombie', 'Gregg Henry', 'Adriana Leonard', 'Bonnie Discepolo', 'Clare Grant', 'Grace Gunn', 'Will Gunn', 'Christina R Gregg', 'Analisa Wall']"
Guardians of the Galaxy,8,2014,true,2023-06-10,USA,Marvel Studios,English,"['Adventure', 'Action', 'Science Fiction']",James Gunn,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Lee Pace', 'Michael Rooker', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly', 'Glenn Close', 'Benicio del Toro', 'Laura Haddock', 'Sean Gunn', 'Peter Serafinowicz', 'Christopher Fairbank', 'Krystian Godlewski', 'Wyatt Oleff', 'Gregg Henry', 'Janis Ahern', 'Solomon Mousley', 'Lindsay Morton', 'Robert Firth', 'Melia Kreiling', 'Tom Proctor', 'Nick Holmes', 'Max Wrottesley', 'Stan Lee', 'Nicole Alexandra Shipley', 'Sharif Atkins', 'Brendan Fehr', 'Tomas Arana', 'Mikaela Hoover', 'Emmett Scanlan', 'Dominic Grant', 'Spencer Wilding', 'Alison Lintott', 'Alexis Rodney', 'Nathan Fillion', 'Keeley Forsyth', 'Frank Gilhooley', 'Alexis Denisof', 'Enzo Cilenti', 'Richard Katz', 'Ene Frost', 'Ronan Summers', 'Ophelia Lovibond', 'Laura Ortiz', 'Marama Corlett', 'Rosie Jones', 'Abidemi Sobande', 'Alex Rose', 'Ekaterina Zalitko', 'Emily Redding', 'Stephen Blackehart', 'Jennifer Moylan-Taylor', 'Bruce Mackinnon', 'Ralph Ineson', 'Rob Zombie', 'Naomi Ryan', 'John Brotherton', 'Graham Shiels', 'James Gunn', 'Douglas Robson', 'Rachel Cullen', 'Isabella Poynton', 'Imogen Poynton', 'David Yarovesky', 'Miriam Lucia', 'Josh Brolin', 'Lloyd Kaufman', 'Tyler Bates', 'Seth Green', 'Jozef Aoki', 'Erica Melargo']"
Blue Valentine,6,2010,false,2023-06-08,USA,Cottage Industries,English,"['Romance', 'Drama']",Derek Cianfrance,"['Ryan Gosling', 'Michelle Williams', 'John Doman', 'Mike Vogel', 'Ben Shenkman', 'Jen Jones', 'Maryann Plunkett', 'Faith Wladyka', 'Marshall Johnson', 'James Benatti', 'Barbara Troy', 'Carey Westbrook', 'Eileen Rosen', 'Enid Graham', 'Ashley Gurnari', 'Jack Parshutich', 'Samii Ryan', 'Mark Benginia', 'Timothy Liveright', 'Tamara Torres', 'Robert Russell', 'Michelle Nagy', 'Felicia Reid', 'Melvin Jurdem', 'Alan Malkin', 'Derik Belanger', 'Isabella Frigoletto', 'Madison Ledergerber', 'Jaimie Jensen', 'Joseph Basile', 'Ian Bonner', 'Robert Eckard', 'Corey Sullivan']"
Spider-Man: Across the Spider-Verse,8,2023,true,2023-06-05,USA,Columbia Pictures,English,"['Animation', 'Adventure', 'Science Fiction', 'Action']",Joaquim Dos Santos,"['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson', 'Oscar Isaac', 'Jason Schwartzman', 'Issa Rae', 'Daniel Kaluuya', 'Karan Soni', 'Shea Whigham', 'Greta Lee', 'Mahershala Ali', 'Amandla Stenberg', 'Jharrel Jerome', 'Andy Samberg', 'Jack Quaid', 'Rachel Dratch', 'Ziggy Marley', 'Jorma Taccone', 'J.K. Simmons', 'Donald Glover', 'Elizabeth Perkins', 'Kathryn Hahn', 'Ayo Edebiri', 'Nicole Delaney', 'Antonina Lentini', 'Atsuko Okatsuka', 'Peter Sohn', 'Melissa Sturm', 'Lorraine Velez', 'Nic Novicki', 'Taran Killam', 'Metro Boomin', 'Josh Keaton', 'Sofia Barclay', 'Danielle Perez', 'Yuri Lowenthal', 'Rita Rani Ahuja', 'Ismail Bashey', 'Oscar Camacho', 'Freddy Ferrari', 'Kerry Gutierrez', 'Kamal Khan', 'Angelo Sekou Kouyate', 'Andrew Leviton', 'David Michie', 'Sumit Naig', 'Juan Pacheco', 'Chrystee Pharris', 'Ben Pronsky', 'Al Rodrigo', 'Stan Sellers', 'Warren Sroka', 'Jasper Johannes Andrews', 'Gredel Berrios Calladine', 'Natalia Castellanos', 'Russell Tyre Francis', 'Deepti Gupta', 'Sohm Kapila', 'Pradnya Kuwadekar', 'Ashley London', 'Christopher Miller', 'Andrea Navedo', 'Lakshmi Patel', 'Jacqueline Pinol', 'Eliyas Qureshi', 'Lashana Rodriguez', 'Jaswant Dev Shrestha', 'Libby Thomas Dickey', 'Jason Linere-White', 'Sitara Attaie', 'Mayuri Bhandari', 'June Christopher', 'Michelle Jubilee Gonzalez', 'Marabina Jaimes', 'Rez Kempton', 'Lex Lang', 'Phil Lord', 'Richard Miro', 'Doug Nicholas', ""Shakira Ja'nai Paye"", 'James Pirri', 'Marley Ralph', 'Michelle Ruff', 'Dennis Singletary', 'Amanda Troop', 'Ruth Zalduondo', 'Kimberly Bailey', 'Sanjay Chandani', 'Melanie Duke', 'Jorge R. Gutierrez', 'Miguel Jiron', 'Deepti Kingra-Mickelsen', 'Luisa Leschin', 'Caitlin McKenna', 'Andrew Morgado', 'Arthur Ortiz', 'Eliana A. Perez', 'Juan Pope', 'Mike Rianda', 'Erika Scopelli', 'Narender Sood', 'Cedric L. Williams', 'Kimiko Glenn']"
One Flew Over the Cuckoo's Nest,9,1975,true,2023-05-28,USA,Fantasy Films,English,['Drama'],Miloš Forman,"['Jack Nicholson', 'Brad Dourif', 'Louise Fletcher', 'Danny DeVito', 'William Redfield', 'Scatman Crothers', 'Christopher Lloyd', 'Will Sampson', 'Dean R. Brooks', 'Michael Berryman', 'Sydney Lassick', 'William Duell', 'Vincent Schiavelli', 'Peter Brocco', 'Alonzo Brown', 'Mwako Cumbuka', 'Josip Elic', 'Ken Kenny', 'Nathan George', 'Ted Markland', 'Louisa Moritz', 'Mews Small', 'Delos V. Smith Jr.', 'Lan Fendors', 'Mimi Sarkisian', 'Mel Lambert', 'Kay Lee', 'Dwight Marfield', 'Tin Welch', 'Philip Roth', 'Aurore Clément', 'Anjelica Huston', 'Audrey Landers', 'Saul Zaentz']"
Shutter Island,6,2010,false,2023-05-27,USA,Paramount Pictures,English,"['Mystery', 'Drama', 'Thriller']",Martin Scorsese,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Max von Sydow', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson', 'Jackie Earle Haley', 'Ted Levine', 'John Carroll Lynch', 'Elias Koteas', 'Robin Bartlett', 'Christopher Denham', 'Nellie Sciutto', 'Joseph Sikora', 'Curtiss Cook', 'Raymond Anthony Thomas', 'Joseph McKenna', 'Ruby Jerins', 'Tom Kemp', 'Bates Wilder', 'Lars Gerhard', 'Matthew Cowles', 'Jill Larson', 'Ziad Akl', 'Dennis Lynch', 'John Porell', 'Aidan Cole Mitchell', 'Drew Beasley', 'Joseph P. Reidy', 'Bree Elrod', 'Thomas B. Duffy', 'Ken Cheeseman', 'Steve Witting', 'Michael E. Chapman', 'Keith Fluker', 'Darryl Wooten', 'Michael Byron', 'Gary Galone', 'Gabriel Hansen', 'Harrison Young', 'John Franchi']"
The Suicide Squad,8,2021,true,2023-05-26,USA,DC Films,English,"['Action', 'Adventure', 'Comedy']",James Gunn,"['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman', 'Sylvester Stallone', 'Viola Davis', 'David Dastmalchian', 'Daniela Melchior', 'Michael Rooker', 'Jai Courtney', 'Peter Capaldi', 'Alice Braga', 'Pete Davidson', 'Joaquín Cosío', 'Juan Diego Botto', 'Storm Reid', 'Nathan Fillion', 'Taika Waititi', 'Steve Agee', 'Sean Gunn', 'John Ostrander', 'Flula Borg', 'Mayling Ng', 'Stephen Blackehart', 'Tinashe Kajese', 'Jennifer Holland', 'Fernando Martinez', 'Dee Bradley Baker', 'Natalia Safran', 'Jared Leland Gore', 'Rey Hernandez', 'Ray Benitez', 'Reinaldo Faberlle', 'Jonathan Fritschi', 'Josh Ventura', 'Gerardo Davila', 'Mikaela Hoover', 'Lynne Ashe', 'Julio Cesar Ruiz', 'J.R. Adduci', 'Curtis Lyons Jr.', 'Maya Le Clark', 'Elideusa Gomes Almeida', 'Shanna Kernan', 'Bridget Taylor', 'Monica Rivera', 'Andrea Andrade', 'Giovanni Rodriguez', 'Giovannie Cruz', 'Sergio Carlo', 'Edgar Zanabria', 'Grecia Balboa', 'Kenneth Trujillo', 'Randy Havens', 'Michelle Civile', 'Gabrielle Manning', 'Michael Aaron Milligan', 'Diany Rodriguez', 'Teresita Mans', 'Terence Rosemore', 'Lloyd Kaufman', 'Pom Klementieff', 'Victoria Paige Watkins']"
Requiem for a Dream,9,2000,true,2023-05-25,USA,Artisan Entertainment,English,"['Drama', 'Crime']",Darren Aronofsky,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans', 'Christopher McDonald', 'Louise Lasser', 'Marcia Jean Kurtz', 'Janet Sarno', 'Suzanne Shepherd', 'Joanne Gordon', 'Charlotte Aronofsky', 'Mark Margolis', 'Michael Kaycheck', ""Jack O'Connell"", 'Chas Mastin', 'Ajay Naidu', 'Sean Gullette', 'Samia Shoaib', 'Peter Maloney', 'Abraham Abraham', 'Aliya Campbell', ""Te'ron A. O'Neal"", 'Denise Dowse', 'Bryan Chattoo', 'Eddie De Harp', 'Scott Franklin', 'Peter Cheyenne', 'Brian Costello', 'Abraham Aronofsky', 'James Chinlund', 'Olga Merediz', 'Allison Furman', 'Robert Dylan Cohen', 'Ben Shenkman', 'Keith David', 'Dylan Baker', ""Shaun O'Hagan"", 'Leland Gantt', 'Bill Buell', 'Jimmie Ray Weeks', 'Gregg Bello', 'Henry Stram', 'Heather Litteer', 'Jenny Decker', 'Ami Goodheart', 'Nina Zavarin', 'Stanley B. Herman', 'Scott Bader', 'Jim Centofanti', 'Scott Chait', 'Daniel Clarin', 'Ben Cohen', 'Eric Cohen', 'Brett Feinstein', 'Ricky Fier', 'John Getz', 'Andrew Kessler', 'Ross Lombardo', 'Carter Mansbach', 'Scott Miller', 'Todd Miller', 'Joshua Pollack', 'Craig Rallo', 'Geordan Reisner', 'Keith Scandore', 'David Seltzer', 'Chris Varvaro', 'Ricardo Viñas', 'Chad Weiner', 'Jesse Weissberger', 'Greg Weissman', 'Hubert Selby Jr.', 'Lianna Pai', 'Darren Aronofsky']"
Climax,3,2018,false,2023-05-25,Belgium,Rectangle Productions,French,"['Horror', 'Drama']",Gaspar Noé,"['Sofia Boutella', 'Romain Guillermic', 'Souheila Yacoub', 'Kiddy Smile', 'Claude-Emmanuelle Gajan-Maull', 'Giselle Palmer', 'Taylor Kastle', 'Thea Carla Schøtt', 'Sharleen Temple', 'Lea Vlamos', 'Alaïa Alsafir', 'Kendall Mugler', 'Lakdhar Dridi', 'Adrien Sissoko', 'Mamadou Bathily', 'Alou Sidibé', 'Ashley Biscette', 'Mounia Nassangar', 'Tiphanie Au', 'Sarah Belala', 'Alexandre Moreau', 'Naab', 'Strauss Serpent', 'Vince Galliot Cumant']"
Irreversible,5,2002,false,2023-05-24,France,Wild Bunch,French,"['Crime', 'Drama', 'Thriller']",Gaspar Noé,"['Monica Bellucci', 'Vincent Cassel', 'Albert Dupontel', 'Jo Prestia', 'Philippe Nahon', 'Stéphane Drouot', 'Jean-Louis Costes', 'Mick Gondouin', 'Mourad Khima', 'Layde Hellal', 'Dominique Nato', 'Michel Fesche', 'Victoria Jaramillo', 'Jean-Yves Le Quellec', 'Isabelle Giami', 'Fatima Adoum', 'Janice Foulaux', 'Stephane Derderian', 'Gaspar Noé']"
The Matrix,8,1999,true,2023-05-18,USA,Village Roadshow Pictures,English,"['Science Fiction', 'Action']",Lana Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Gloria Foster', 'Joe Pantoliano', 'Marcus Chong', 'Julian Arahanga', 'Matt Doran', 'Belinda McClory', 'Anthony Ray Parker', 'Paul Goddard', 'Robert Taylor', 'David Aston', 'Marc Aden Gray', 'Ada Nicodemou', 'Deni Gordon', 'Rowan Witt', 'Eleanor Witt', 'Tamara Brown', 'Janaya Pender', 'Adryn White', 'Natalie Tjen', 'Bill Young', ""David O'Connor"", 'Jeremy Ball', 'Fiona Johnson', 'Harry Lawrence', 'Steve Dodd', 'Luke Quinton', 'Lawrence Woodward', 'Michael Butcher', 'Bernard Ledger', 'Chris Pattinson', 'Robert Simper', 'Nigel Harbach']"
Air,7,2023,true,2023-05-13,USA,Amazon Studios,English,"['Drama', 'History']",Ben Affleck,"['Matt Damon', 'Ben Affleck', 'Jason Bateman', 'Chris Messina', 'Viola Davis', 'Julius Tennon', 'Chris Tucker', 'Matthew Maher', 'Gustaf Skarsgård', 'Damian Young', 'Barbara Sukowa', 'Jay Mohr', 'Joel Gretsch', 'Marlon Wayans', 'Dan Bucatinsky', ""Michael O'Neill"", 'Asanté Deshon', 'Billy Smith', 'Al Madrigal', 'Jackson Damon', 'Jessica Green', 'Gabrielle Bourne', 'Joshua Funk', 'Andy Hirsch', 'Tami Jordan', 'Jeff Cook', 'Albert Stroth', 'Mackenzie Rayne', 'Jerry Plummer', 'Haylee Baldwin', 'Ari Davis', 'Martina De Leon Diaz', 'Ure Egbuho', 'Dempsey Gibson', 'Geoffrey Gould', 'Richard Allan Jones', 'Tom Papa', 'LeChristopher Williams', 'Michael Jordan', 'Deloris Jordan', 'Barack Obama']"
Beau Is Afraid,6,2023,false,2023-04-29,Finland,A24,English,"['Fantasy', 'Comedy', 'Adventure']",Ari Aster,"['Joaquin Phoenix', 'Patti LuPone', 'Amy Ryan', 'Nathan Lane', 'Kylie Rogers', 'Denis Ménochet', 'Parker Posey', 'Zoe Lister-Jones', 'Armen Nahapetian', 'Julia Antonelli', 'Stephen McKinley Henderson', 'Richard Kind', 'Hayley Squires', 'Julian Richings', 'Bill Hader', 'Alicia Rosario', 'James Cvetkovski', 'Catherine Bérubé', 'Stephanie Herrera', 'Bradley Fisher', 'Peter Seaborne', 'Michael Esper', 'Manuel Tadros', 'Karl Roy', 'Marc-André Brisebois', 'Tyrone Benskin', 'Ernest-James Chuipka', 'Archie Madekwe', 'Greg Halpin', 'Luis Oliva', 'Charles Hardy', 'Marie-Michelle Garon', 'Maev Beaty', 'Patrick Kwok-Choon', 'Michael Gandolfini', 'Théodore Pellerin', 'Mike Taylor', 'Luke Alexander James McPhail', 'Ryan S. Hill', 'Bentley Hughes', 'Kwasi Songui', 'Sylvain Landry', 'Tristan D. Lalla', 'Emmanuel Schwartz', 'Cat Lemieux', 'Lily Bird', 'Arthur Holden', 'François Paquette', 'Alex Bisping', 'Lucas Gosselin', 'Joe Cobden', 'Harry Strandjofski', 'Anana Rydvald', 'Isabelle Brabant', 'Tarah Schwartz', 'Barry Morgan', 'David Mamet', 'John Walsh', 'Karim Babin', 'Lee Villeneuve', 'Steve Newburn', 'Kayla Dobilas', 'Gord Robertson', 'Pamela Iveta', 'Jason Detheridge', 'Luz Tercero', 'Geneviève Marin', 'Julien Fortin', 'Marc-André Casavant', 'Ari Aster']"
Dungeons & Dragons: Honor Among Thieves,6,2023,false,2023-04-24,Canada,Entertainment One,English,"['Comedy', 'Fantasy', 'Adventure']",John Francis Daley,"['Chris Pine', 'Michelle Rodriguez', 'Justice Smith', 'Sophia Lillis', 'Hugh Grant', 'Regé-Jean Page', 'Chloe Coleman', 'Daisy Head', 'Kyle Hixon', 'Spencer Wilding', 'Will Irvine', 'Nicholas Blane', 'Bryan Larkin', 'Sarah Amankwah', 'Colin Carnegie', 'Georgia Landers', 'Sophia Nell Huntley', 'Clayton Grover', 'San Shella', ""Barry O'Connor"", 'Avril Murphy', 'Neil Stoddart', 'Adam Behan', 'Dan Poole', 'Natali Servat', 'Ian Hanmore', 'Paul Bazely', 'Kenneth Collard', 'Jason Wong', 'Bradley Cooper', 'Hayley-Marie Axe', 'Darren Kent', 'Claude Starling', 'Richie Wilson', 'Philip Brodie', 'Paul Lancaster', 'Michael Redmond', 'Daniel Campbell', 'Bridie Mayfield', 'Sharon Blynn', 'Rylan Jackson', 'Appy Pratt', 'David Durham', 'Harriet Barrow', 'Justice Ritchie', 'Adrian Christopher', 'Richard Hall', 'Jeanne Nicole Ní Áinle', 'Fionnlagh Allan', 'Edd Osmond', 'Niamh McCormack', 'Anton Simpson-Tidy', 'Luke Bennett', 'Moe Sasegbon', 'Trevor Kaneswaran', 'Emer McDaid', ""Seamus O'Hara"", 'Edgar Abram', 'Tom Morello', 'R.F. Daley', 'Jude Hill', 'Richard Croxford', 'Rylee Neilly-Large', 'David Sobolov', 'Jeff Bottoms', 'David Stanbra', 'Matthew Waterson', 'John Francis Daley', 'Kim Chapman', 'Tom Mason Duffy', 'Mark Epstein', 'Simon Ramshaw']"
The Super Mario Bros. Movie,6,2023,false,2023-04-24,Japan,Universal Pictures,English,"['Fantasy', 'Animation', 'Comedy', 'Family', 'Adventure']",Aaron Horvath,"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key', 'Seth Rogen', 'Fred Armisen', 'Sebastian Maniscalco', 'Charles Martinet', 'Kevin Michael Richardson', 'Khary Payton', 'Rino Romano', 'John DiMaggio', 'Jessica DiCicco', 'Eric Bauza', 'Juliet Jelenic', 'Scott Menville', 'Carlos Alazraqui', 'Jason Broad', 'Ashly Burch', 'Rachel Butera', 'Cathy Cavadini', 'Will Collyer', 'Django Craig', 'Willow Geer', 'Aaron Hendry', 'Andy Hirsch', 'Barbara Harris', 'Phil LaMarr', 'Jeremy Maxwell', 'Daniel Mora', 'Eric E. Osmond', 'Noreen Reardon', 'Lee Shorten', 'Cree Summer', 'Nisa Ward', 'Nora Wyman']"
Spring Breakers,8,2012,true,2023-04-09,France,Iconoclast,English,"['Drama', 'Crime']",Harmony Korine,"['Ashley Benson', 'Vanessa Hudgens', 'James Franco', 'Rachel Korine', 'Selena Gomez', 'Gucci Mane', 'Heather Morris', 'Ash Lendzion', 'Sidney Sewell', 'Thurman Sewell', 'Emma Holzer', 'Lee Irby', 'Jeffrey Jarrett', 'Russell Stuart', 'Josh Randall', 'Travis Duncan', 'John McClain', 'Paige Anderson', 'Rebecca Kauffman', 'Tony Robinette', 'Megan Russell', 'Kathryn Trail', 'Ken Anthony II', 'Karleigh Chase', 'Vivian Fleming-Alvarez', 'Tom Franco', 'Mattox Gardner', 'Rod Grant', 'Anthony J. James', 'Dave Kramer', 'Erik Anthony Russo', 'Dayton Sinkia', 'Lauren Vera', 'Benjamin Weaver', 'Nicole Paris Williams']"
Inside,6,2023,false,2023-04-07,Belgium,A Private View,English,"['Thriller', 'Drama']",Vasilis Katsoupis,"['Willem Dafoe', 'Gene Bervoets', 'Josia Krug', 'Eliza Stuyck', 'Andrew Blumenthal', 'Vincent Eaton', 'Daniel White', 'Cornelia Buch', 'Ava von Voigt', 'Youl Samare']"
